"STATION","DATE","PRCP","TAVG","TMAX","TMIN","TSUN"
"USW00094728","2013-02-02","0.02",,"29","19",
"USW00094728","2013-02-03","0.02",,"30","24",
"USW00094728","2013-02-04","0.00",,"30","23",
"USW00094728","2013-02-05","0.02",,"32","28",
"USW00094728","2013-02-06","0.00",,"39","29",
"USW00094728","2013-02-07","0.00",,"32","26",
"USW00094728","2013-02-08","1.15",,"34","27",
"USW00094728","2013-02-09","0.38",,"32","21",
"USW00094728","2013-02-10","0.00",,"36","18",
"USW00094728","2013-02-11","0.49",,"45","34",
"USW00094728","2013-02-12","0.00",,"44","36",
"USW00094728","2013-02-13","0.03",,"44","33",
"USW00094728","2013-02-14","0.00",,"46","33",
"USW00094728","2013-02-15","0.00",,"55","37",
"USW00094728","2013-02-16","0.02",,"41","31",
"USW00094728","2013-02-17","0.00",,"32","18",
"USW00094728","2013-02-18","0.00",,"35","17",
"USW00094728","2013-02-19","0.15",,"49","33",
"USW00094728","2013-02-20","0.00",,"38","25",
"USW00094728","2013-02-21","0.00",,"34","24",
"USW00094728","2013-02-22","0.00",,"38","25",
"USW00094728","2013-02-23","0.26",,"42","36",
"USW00094728","2013-02-24","0.01",,"47","34",
"USW00094728","2013-02-25","0.00",,"45","32",
"USW00094728","2013-02-26","0.14",,"44","35",
"USW00094728","2013-02-27","1.56",,"47","36",
"USW00094728","2013-02-28","0.00",,"51","39",
"USW00094728","2013-03-01","0.00",,"45","36",
"USW00094728","2013-03-02","0.00",,"40","31",
"USW00094728","2013-03-03","0.00",,"40","29",
"USW00094728","2013-03-04","0.00",,"42","27",
"USW00094728","2013-03-05","0.00",,"49","31",
"USW00094728","2013-03-06","0.00",,"42","38",
"USW00094728","2013-03-07","0.19",,"38","33",
"USW00094728","2013-03-08","0.54",,"42","31",
"USW00094728","2013-03-09","0.00",,"55","35",
"USW00094728","2013-03-10","0.00",,"50","36",
"USW00094728","2013-03-11","0.00",,"54","40",
"USW00094728","2013-03-12","0.79",,"57","43",
"USW00094728","2013-03-13","0.00",,"52","38",
"USW00094728","2013-03-14","0.00",,"41","29",
"USW00094728","2013-03-15","0.00",,"47","30",
"USW00094728","2013-03-16","0.12",,"41","32",
"USW00094728","2013-03-17","0.00",,"38","29",
"USW00094728","2013-03-18","0.65",,"35","28",
"USW00094728","2013-03-19","0.36",,"43","33",
"USW00094728","2013-03-20","0.00",,"45","32",
"USW00094728","2013-03-21","0.00",,"40","30",
"USW00094728","2013-03-22","0.00",,"41","28",
"USW00094728","2013-03-23","0.00",,"46","32",
"USW00094728","2013-03-24","0.00",,"47","33",
"USW00094728","2013-03-25","0.17",,"40","36",
"USW00094728","2013-03-26","0.00",,"53","37",
"USW00094728","2013-03-27","0.00",,"53","36",
"USW00094728","2013-03-28","0.00",,"51","37",
"USW00094728","2013-03-29","0.00",,"55","40",
"USW00094728","2013-03-30","0.00",,"59","40",
"USW00094728","2013-03-31","0.08",,"54","44",
"USW00094728","2013-04-01","0.00",,"62","37",
"USW00094728","2013-04-02","0.00",,"43","33",
"USW00094728","2013-04-03","0.00",,"46","33",
"USW00094728","2013-04-04","0.00",,"53","33",
"USW00094728","2013-04-05","0.00",,"64","41",
"USW00094728","2013-04-06","0.00",,"52","35",
"USW00094728","2013-04-07","0.00",,"55","40",
"USW00094728","2013-04-08","0.00",,"73","51",
"USW00094728","2013-04-09","0.00",,"82","51",
"USW00094728","2013-04-10","0.49",,"74","55",
"USW00094728","2013-04-11","0.00",,"60","47",
"USW00094728","2013-04-12","0.63",,"47","41",
"USW00094728","2013-04-13","0.01",,"58","41",
"USW00094728","2013-04-14","0.00",,"57","46",
"USW00094728","2013-04-15","0.00",,"59","44",
"USW00094728","2013-04-16","0.00",,"63","47",
"USW00094728","2013-04-17","0.02",,"71","55",
"USW00094728","2013-04-18","0.01",,"59","51",
"USW00094728","2013-04-19","0.05",,"71","55",
"USW00094728","2013-04-20","0.06",,"60","43",
"USW00094728","2013-04-21","0.00",,"55","37",
"USW00094728","2013-04-22","0.00",,"55","41",
"USW00094728","2013-04-23","0.00",,"53","41",
"USW00094728","2013-04-24","0.00",,"69","44",
"USW00094728","2013-04-25","0.00",,"66","46",
"USW00094728","2013-04-26","0.00",,"67","50",
"USW00094728","2013-04-27","0.00",,"71","48",
"USW00094728","2013-04-28","0.00",,"69","51",
"USW00094728","2013-04-29","0.04",,"57","52",
"USW00094728","2013-04-30","0.00",,"68","51",
"USW00094728","2013-05-01","0.00",,"69","47",
"USW00094728","2013-05-02","0.00",,"72","49",
"USW00094728","2013-05-03","0.00",,"66","49",
"USW00094728","2013-05-04","0.00",,"69","48",
"USW00094728","2013-05-05","0.00",,"64","46",
"USW00094728","2013-05-06","0.00",,"69","46",
"USW00094728","2013-05-07","0.00",,"74","52",
"USW00094728","2013-05-08","3.02",,"63","55",
"USW00094728","2013-05-09","0.50",,"68","54",
"USW00094728","2013-05-10","0.01",,"79","59",
"USW00094728","2013-05-11","1.09",,"70","61",
"USW00094728","2013-05-12","0.00",,"70","51",
"USW00094728","2013-05-13","0.00",,"58","45",
"USW00094728","2013-05-14","0.00",,"61","42",
"USW00094728","2013-05-15","0.00",,"69","52",
"USW00094728","2013-05-16","0.00",,"79","62",
"USW00094728","2013-05-17","0.00",,"72","58",
"USW00094728","2013-05-18","0.01",,"65","56",
"USW00094728","2013-05-19","0.60",,"59","55",
"USW00094728","2013-05-20","0.00",,"79","58",
"USW00094728","2013-05-21","0.00",,"86","68",
"USW00094728","2013-05-22","0.00",,"78","59",
"USW00094728","2013-05-23","1.81",,"80","64",
"USW00094728","2013-05-24","0.30",,"65","45",
"USW00094728","2013-05-25","0.14",,"54","45",
"USW00094728","2013-05-26","0.00",,"66","48",
"USW00094728","2013-05-27","0.00",,"73","51",
"USW00094728","2013-05-28","0.52",,"68","56",
"USW00094728","2013-05-29","0.00",,"82","58",
"USW00094728","2013-05-30","0.00",,"90","72",
"USW00094728","2013-05-31","0.00",,"90","75",
"USW00094728","2013-06-01","0.00",,"90","73",
"USW00094728","2013-06-02","0.85",,"88","69",
"USW00094728","2013-06-03","0.87",,"78","66",
"USW00094728","2013-06-04","0.00",,"75","57",
"USW00094728","2013-06-05","0.00",,"74","58",
"USW00094728","2013-06-06","0.13",,"70","59",
"USW00094728","2013-06-07","4.16",,"63","59",
"USW00094728","2013-06-08","0.48",,"77","57",
"USW00094728","2013-06-09","0.00",,"80","63",
"USW00094728","2013-06-10","1.38",,"70","62",
"USW00094728","2013-06-11","0.09",,"80","64",
"USW00094728","2013-06-12","0.00",,"76","65",
"USW00094728","2013-06-13","1.26",,"69","55",
"USW00094728","2013-06-14","0.38",,"72","53",
"USW00094728","2013-06-15","0.00",,"80","61",
"USW00094728","2013-06-16","0.00",,"80","65",
"USW00094728","2013-06-17","0.01",,"84","69",
"USW00094728","2013-06-18","0.20",,"84","64",
"USW00094728","2013-06-19","0.00",,"77","59",
"USW00094728","2013-06-20","0.00",,"80","62",
"USW00094728","2013-06-21","0.00",,"82","64",
"USW00094728","2013-06-22","0.00",,"84","65",
"USW00094728","2013-06-23","0.00",,"88","70",
"USW00094728","2013-06-24","0.00",,"92","74",
"USW00094728","2013-06-25","0.00",,"91","73",
"USW00094728","2013-06-26","0.05",,"85","74",
"USW00094728","2013-06-27","0.24",,"86","73",
"USW00094728","2013-06-28","0.00",,"85","73",
"USW00094728","2013-06-29","0.00",,"83","71",
"USW00094728","2013-06-30","0.00",,"86","73",
"USW00094728","2013-07-01","0.84",,"77","72",
"USW00094728","2013-07-02","0.08",,"82","72",
"USW00094728","2013-07-03","0.53",,"83","73",
"USW00094728","2013-07-04","0.00",,"87","75",
"USW00094728","2013-07-05","0.00",,"90","76",
"USW00094728","2013-07-06","0.00",,"92","78",
"USW00094728","2013-07-07","0.00",,"92","78",
"USW00094728","2013-07-08","0.22",,"89","73",
"USW00094728","2013-07-09","0.23",,"88","74",
"USW00094728","2013-07-10","0.00",,"85","75",
"USW00094728","2013-07-11","0.00",,"84","76",
"USW00094728","2013-07-12","0.25",,"77","68",
"USW00094728","2013-07-13","0.06",,"81","67",
"USW00094728","2013-07-14","0.00",,"90","74",
"USW00094728","2013-07-15","0.00",,"94","78",
"USW00094728","2013-07-16","0.00",,"94","77",
"USW00094728","2013-07-17","0.00",,"97","79",
"USW00094728","2013-07-18","0.00",,"98","81",
"USW00094728","2013-07-19","0.00",,"96","83",
"USW00094728","2013-07-20","0.00",,"93","81",
"USW00094728","2013-07-21","0.00",,"89","76",
"USW00094728","2013-07-22","0.06",,"86","75",
"USW00094728","2013-07-23","0.31",,"87","73",
"USW00094728","2013-07-24","0.00",,"83","68",
"USW00094728","2013-07-25","0.01",,"68","64",
"USW00094728","2013-07-26","0.00",,"83","65",
"USW00094728","2013-07-27","0.00",,"82","70",
"USW00094728","2013-07-28","0.24",,"78","70",
"USW00094728","2013-07-29","0.01",,"85","69",
"USW00094728","2013-07-30","0.00",,"83","67",
"USW00094728","2013-07-31","0.00",,"83","67",
"USW00094728","2013-08-01","0.65",,"76","66",
"USW00094728","2013-08-02","0.00",,"83","67",
"USW00094728","2013-08-03","0.06",,"78","68",
"USW00094728","2013-08-04","0.00",,"80","66",
"USW00094728","2013-08-05","0.00",,"78","62",
"USW00094728","2013-08-06","0.00",,"82","64",
"USW00094728","2013-08-07","0.00",,"80","70",
"USW00094728","2013-08-08","0.46",,"81","70",
"USW00094728","2013-08-09","0.05",,"85","74",
"USW00094728","2013-08-10","0.00",,"83","70",
"USW00094728","2013-08-11","0.00",,"81","65",
"USW00094728","2013-08-12","0.05",,"82","70",
"USW00094728","2013-08-13","0.85",,"77","68",
"USW00094728","2013-08-14","0.00",,"74","61",
"USW00094728","2013-08-15","0.00",,"78","59",
"USW00094728","2013-08-16","0.00",,"82","64",
"USW00094728","2013-08-17","0.00",,"84","64",
"USW00094728","2013-08-18","0.00",,"76","68",
"USW00094728","2013-08-19","0.00",,"79","66",
"USW00094728","2013-08-20","0.00",,"88","68",
"USW00094728","2013-08-21","0.00",,"90","72",
"USW00094728","2013-08-22","0.25",,"78","71",
"USW00094728","2013-08-23","0.00",,"82","71",
"USW00094728","2013-08-24","0.00",,"80","65",
"USW00094728","2013-08-25","0.00",,"83","64",
"USW00094728","2013-08-26","0.04",,"84","68",
"USW00094728","2013-08-27","0.01",,"87","71",
"USW00094728","2013-08-28","0.43",,"86","71",
"USW00094728","2013-08-29","0.00",,"80","71",
"USW00094728","2013-08-30","0.00",,"85","70",
"USW00094728","2013-08-31","0.00",,"86","73",
"USW00094728","2013-09-01","0.00",,"84","75",
"USW00094728","2013-09-02","0.05",,"82","74",
"USW00094728","2013-09-03","0.03",,"82","68",
"USW00094728","2013-09-04","0.00",,"82","65",
"USW00094728","2013-09-05","0.00",,"80","64",
"USW00094728","2013-09-06","0.00",,"72","57",
"USW00094728","2013-09-07","0.00",,"80","59",
"USW00094728","2013-09-08","0.00",,"83","64",
"USW00094728","2013-09-09","0.00",,"73","57",
"USW00094728","2013-09-10","0.01",,"87","68",
"USW00094728","2013-09-11","0.00",,"96","77",
"USW00094728","2013-09-12","1.60",,"87","70",
"USW00094728","2013-09-13","0.06",,"77","59",
"USW00094728","2013-09-14","0.00",,"67","54",
"USW00094728","2013-09-15","0.00",,"73","51",
"USW00094728","2013-09-16","0.03",,"73","56",
"USW00094728","2013-09-17","0.00",,"65","50",
"USW00094728","2013-09-18","0.00",,"72","51",
"USW00094728","2013-09-19","0.00",,"78","55",
"USW00094728","2013-09-20","0.00",,"79","60",
"USW00094728","2013-09-21","0.72",,"77","61",
"USW00094728","2013-09-22","0.45",,"69","54",
"USW00094728","2013-09-23","0.00",,"66","50",
"USW00094728","2013-09-24","0.00",,"73","47",
"USW00094728","2013-09-25","0.00",,"73","52",
"USW00094728","2013-09-26","0.00",,"71","58",
"USW00094728","2013-09-27","0.00",,"69","57",
"USW00094728","2013-09-28","0.00",,"73","56",
"USW00094728","2013-09-29","0.00",,"72","57",
"USW00094728","2013-09-30","0.00",,"75","56",
"USW00094728","2013-10-01","0.00",,"82","59",
"USW00094728","2013-10-02","0.00",,"83","64",
"USW00094728","2013-10-03","0.00",,"78","63",
"USW00094728","2013-10-04","0.00",,"86","66",
"USW00094728","2013-10-05","0.00",,"76","64",
"USW00094728","2013-10-06","0.00",,"70","65",
"USW00094728","2013-10-07","0.25",,"76","60",
"USW00094728","2013-10-08","0.00",,"67","54",
"USW00094728","2013-10-09","0.00",,"62","53",
"USW00094728","2013-10-10","0.00",,"65","54",
"USW00094728","2013-10-11","0.02",,"68","60",
"USW00094728","2013-10-12","0.00",,"72","60",
"USW00094728","2013-10-13","0.00",,"65","56",
"USW00094728","2013-10-14","0.00",,"66","52",
"USW00094728","2013-10-15","0.00",,"72","53",
"USW00094728","2013-10-16","0.00",,"67","56",
"USW00094728","2013-10-17","0.02",,"73","61",
"USW00094728","2013-10-18","0.00",,"68","55",
"USW00094728","2013-10-19","0.01",,"64","52",
"USW00094728","2013-10-20","0.00",,"63","50",
"USW00094728","2013-10-21","0.00",,"66","50",
"USW00094728","2013-10-22","0.00",,"67","51",
"USW00094728","2013-10-23","0.00",,"55","45",
"USW00094728","2013-10-24","0.00",,"54","41",
"USW00094728","2013-10-25","0.00",,"53","40",
"USW00094728","2013-10-26","0.00",,"55","41",
"USW00094728","2013-10-27","0.00",,"58","46",
"USW00094728","2013-10-28","0.00",,"61","43",
"USW00094728","2013-10-29","0.00",,"56","44",
"USW00094728","2013-10-30","0.00",,"60","47",
"USW00094728","2013-10-31","0.06",,"66","53",
"USW00094728","2013-11-01","0.13",,"70","59",
"USW00094728","2013-11-02","0.00",,"68","55",
"USW00094728","2013-11-03","0.00",,"55","37",
"USW00094728","2013-11-04","0.00",,"46","35",
"USW00094728","2013-11-05","0.00",,"55","41",
"USW00094728","2013-11-06","0.00",,"61","49",
"USW00094728","2013-11-07","0.13",,"64","44",
"USW00094728","2013-11-08","0.00",,"50","40",
"USW00094728","2013-11-09","0.00",,"50","38",
"USW00094728","2013-11-10","0.00",,"61","44",
"USW00094728","2013-11-11","0.00",,"53","43",
"USW00094728","2013-11-12","0.03",,"52","31",
"USW00094728","2013-11-13","0.00",,"39","29",
"USW00094728","2013-11-14","0.00",,"52","33",
"USW00094728","2013-11-15","0.00",,"57","44",
"USW00094728","2013-11-16","0.05",,"60","45",
"USW00094728","2013-11-17","0.03",,"60","51",
"USW00094728","2013-11-18","0.22",,"65","51",
"USW00094728","2013-11-19","0.00",,"51","36",
"USW00094728","2013-11-20","0.00",,"44","32",
"USW00094728","2013-11-21","0.00",,"52","35",
"USW00094728","2013-11-22","0.07",,"57","51",
"USW00094728","2013-11-23","0.00",,"54","31",
"USW00094728","2013-11-24","0.00",,"30","23",
"USW00094728","2013-11-25","0.00",,"35","23",
"USW00094728","2013-11-26","0.51",,"47","33",
"USW00094728","2013-11-27","1.98",,"62","35",
"USW00094728","2013-11-28","0.00",,"35","30",
"USW00094728","2013-11-29","0.00",,"39","29",
"USW00094728","2013-11-30","0.00",,"39","25",
"USW00094728","2013-12-01","0.00",,"49","36",
"USW00094728","2013-12-02","0.00",,"49","41",
"USW00094728","2013-12-03","0.00",,"53","38",
"USW00094728","2013-12-04","0.00",,"52","41",
"USW00094728","2013-12-05","0.01",,"60","48",
"USW00094728","2013-12-06","0.73",,"62","37",
"USW00094728","2013-12-07","0.14",,"41","32",
"USW00094728","2013-12-08","0.08",,"33","29",
"USW00094728","2013-12-09","0.30",,"39","31",
"USW00094728","2013-12-10","0.23",,"37","30",
"USW00094728","2013-12-11","0.00",,"33","27",
"USW00094728","2013-12-12","0.00",,"30","23",
"USW00094728","2013-12-13","0.00",,"35","23",
"USW00094728","2013-12-14","0.73",,"34","22",
"USW00094728","2013-12-15","0.72",,"40","30",
"USW00094728","2013-12-16","0.00",,"33","25",
"USW00094728","2013-12-17","0.19",,"32","24",
"USW00094728","2013-12-18","0.00",,"37","23",
"USW00094728","2013-12-19","0.00",,"47","30",
"USW00094728","2013-12-20","0.00",,"53","41",
"USW00094728","2013-12-21","0.01",,"65","51",
"USW00094728","2013-12-22","0.00",,"71","61",
"USW00094728","2013-12-23","0.51",,"64","42",
"USW00094728","2013-12-24","0.00",,"42","26",
"USW00094728","2013-12-25","0.00",,"31","19",
"USW00094728","2013-12-26","0.00",,"36","30",
"USW00094728","2013-12-27","0.00",,"40","31",
"USW00094728","2013-12-28","0.00",,"55","36",
"USW00094728","2013-12-29","1.20",,"48","41",
"USW00094728","2013-12-30","0.00",,"45","23",
"USW00094728","2013-12-31","0.00",,"32","21",
"USW00094728","2014-01-01","0.00",,"33","24",
"USW00094728","2014-01-02","0.33",,"33","18",
"USW00094728","2014-01-03","0.29",,"18","9",
"USW00094728","2014-01-04","0.00",,"29","8",
"USW00094728","2014-01-05","0.14",,"40","27",
"USW00094728","2014-01-06","0.36",,"55","19",
"USW00094728","2014-01-07","0.00",,"19","4",
"USW00094728","2014-01-08","0.00",,"22","9",
"USW00094728","2014-01-09","0.00",,"32","22",
"USW00094728","2014-01-10","0.11",,"37","30",
"USW00094728","2014-01-11","0.50",,"58","37",
"USW00094728","2014-01-12","0.05",,"54","38",
"USW00094728","2014-01-13","0.00",,"51","37",
"USW00094728","2014-01-14","0.38",,"52","44",
"USW00094728","2014-01-15","0.00",,"47","39",
"USW00094728","2014-01-16","0.00",,"42","36",
"USW00094728","2014-01-17","0.00",,"44","33",
"USW00094728","2014-01-18","0.07",,"41","29",
"USW00094728","2014-01-19","0.00",,"38","24",
"USW00094728","2014-01-20","0.00",,"46","31",
"USW00094728","2014-01-21","0.46",,"31","11",
"USW00094728","2014-01-22","0.02",,"17","5",
"USW00094728","2014-01-23","0.00",,"20","7",
"USW00094728","2014-01-24","0.00",,"20","10",
"USW00094728","2014-01-25","0.04",,"28","19",
"USW00094728","2014-01-26","0.00",,"34","17",
"USW00094728","2014-01-27","0.00",,"44","21",
"USW00094728","2014-01-28","0.00",,"21","12",
"USW00094728","2014-01-29","0.04",,"23","14",
"USW00094728","2014-01-30","0.00",,"30","16",
"USW00094728","2014-01-31","0.00",,"39","25",
"USW00094728","2014-02-01","0.00",,"45","36",
"USW00094728","2014-02-02","0.00",,"56","39",
"USW00094728","2014-02-03","1.17",,"43","27",
"USW00094728","2014-02-04","0.00",,"35","22",
"USW00094728","2014-02-05","1.43",,"34","29",
"USW00094728","2014-02-06","0.00",,"32","21",
"USW00094728","2014-02-07","0.00",,"32","24",
"USW00094728","2014-02-08","0.00",,"29","21",
"USW00094728","2014-02-09","0.10",,"31","21",
"USW00094728","2014-02-10","0.00",,"29","21",
"USW00094728","2014-02-11","0.00",,"26","16",
"USW00094728","2014-02-12","0.00",,"25","13",
"USW00094728","2014-02-13","1.78",,"36","24",
"USW00094728","2014-02-14","0.30",,"40","31",
"USW00094728","2014-02-15","0.13",,"37","27",
"USW00094728","2014-02-16","0.00",,"30","21",
"USW00094728","2014-02-17","0.00",,"32","18",
"USW00094728","2014-02-18","0.16",,"39","26",
"USW00094728","2014-02-19","0.26",,"45","34",
"USW00094728","2014-02-20","0.03",,"51","37",
"USW00094728","2014-02-21","0.09",,"49","36",
"USW00094728","2014-02-22","0.00",,"54","40",
"USW00094728","2014-02-23","0.00",,"54","43",
"USW00094728","2014-02-24","0.00",,"44","27",
"USW00094728","2014-02-25","0.00",,"33","24",
"USW00094728","2014-02-26","0.03",,"31","20",
"USW00094728","2014-02-27","0.00",,"34","14",
"USW00094728","2014-02-28","0.00",,"24","9",
"USW00094728","2014-03-01","0.00",,"37","20",
"USW00094728","2014-03-02","0.00",,"40","32",
"USW00094728","2014-03-03","0.04",,"32","17",
"USW00094728","2014-03-04","0.00",,"29","13",
"USW00094728","2014-03-05","0.00",,"39","26",
"USW00094728","2014-03-06","0.00",,"31","16",
"USW00094728","2014-03-07","0.00",,"37","26",
"USW00094728","2014-03-08","0.00",,"57","35",
"USW00094728","2014-03-09","0.00",,"44","36",
"USW00094728","2014-03-10","0.00",,"51","36",
"USW00094728","2014-03-11","0.00",,"66","45",
"USW00094728","2014-03-12","0.35",,"56","32",
"USW00094728","2014-03-13","0.00",,"32","18",
"USW00094728","2014-03-14","0.00",,"46","22",
"USW00094728","2014-03-15","0.00",,"58","42",
"USW00094728","2014-03-16","0.00",,"42","30",
"USW00094728","2014-03-17","0.00",,"35","23",
"USW00094728","2014-03-18","0.00",,"43","28",
"USW00094728","2014-03-19","0.92",,"46","32",
"USW00094728","2014-03-20","0.00",,"54","40",
"USW00094728","2014-03-21","0.00",,"51","39",
"USW00094728","2014-03-22","0.00",,"63","41",
"USW00094728","2014-03-23","0.00",,"42","27",
"USW00094728","2014-03-24","0.00",,"35","21",
"USW00094728","2014-03-25","0.00",,"39","26",
"USW00094728","2014-03-26","0.00",,"36","24",
"USW00094728","2014-03-27","0.00",,"44","22",
"USW00094728","2014-03-28","0.04",,"62","37",
"USW00094728","2014-03-29","1.81",,"59","43",
"USW00094728","2014-03-30","0.35",,"49","39",
"USW00094728","2014-03-31","0.16",,"56","36",
"USW00094728","2014-04-01","0.00",,"60","39",
"USW00094728","2014-04-02","0.00",,"54","42",
"USW00094728","2014-04-03","0.07",,"67","46",
"USW00094728","2014-04-04","0.21",,"47","40",
"USW00094728","2014-04-05","0.00",,"54","40",
"USW00094728","2014-04-06","0.00",,"61","36",
"USW00094728","2014-04-07","0.52",,"53","43",
"USW00094728","2014-04-08","0.34",,"64","46",
"USW00094728","2014-04-09","0.00",,"61","45",
"USW00094728","2014-04-10","0.00",,"58","42",
"USW00094728","2014-04-11","0.00",,"75","56",
"USW00094728","2014-04-12","0.00",,"73","50",
"USW00094728","2014-04-13","0.00",,"77","54",
"USW00094728","2014-04-14","0.00",,"75","59",
"USW00094728","2014-04-15","0.71",,"63","33",
"USW00094728","2014-04-16","0.05",,"49","31",
"USW00094728","2014-04-17","0.00",,"48","36",
"USW00094728","2014-04-18","0.00",,"49","35",
"USW00094728","2014-04-19","0.00",,"68","41",
"USW00094728","2014-04-20","0.00",,"60","45",
"USW00094728","2014-04-21","0.00",,"67","41",
"USW00094728","2014-04-22","0.01",,"71","51",
"USW00094728","2014-04-23","0.00",,"61","44",
"USW00094728","2014-04-24","0.00",,"62","42",
"USW00094728","2014-04-25","0.02",,"63","44",
"USW00094728","2014-04-26","0.92",,"67","46",
"USW00094728","2014-04-27","0.00",,"59","47",
"USW00094728","2014-04-28","0.00",,"67","45",
"USW00094728","2014-04-29","0.03",,"52","43",
"USW00094728","2014-04-30","4.97",,"52","41",
"USW00094728","2014-05-01","0.12",,"78","51",
"USW00094728","2014-05-02","0.00",,"70","56",
"USW00094728","2014-05-03","0.08",,"71","54",
"USW00094728","2014-05-04","0.02",,"65","54",
